Model,Data Type,Concat,Extend,Accuracy,AUC ROC,EER
CNN14,flac,concat0,extend0,52.40384615384615,0.8370395643241377,0.21556443764040178
CNN14,flac,concat1,extend0,46.36800699300699,0.8059786784090794,0.23056876558429243
CNN14,flac,concat1,extend1,97.6486013986014,0.9961306949602825,0.023039170439794268
CNN14,residuals,concat0,extend0,38.58828671328671,0.6568700100733603,0.3855434222838273
CNN14,residuals,concat1,extend0,39.16083916083916,0.6460836989976542,0.39104115778470744
CNN14,residuals,concat1,extend1,92.08041958041959,0.9668797733000807,0.08021019190237882
RAWNET,flac,concat0,extend0,53.17744755244755,0.716232260992137,0.351474048506852
RAWNET,flac,concat1,extend0,46.86188811188811,0.6486138636213881,0.40440375212764224
RAWNET,flac,concat1,extend1,97.74475524475524,0.9913155030957487,0.022796216115207282
RAWNET,residuals,concat0,extend0,37.45629370629371,0.5199381053399622,0.48000865752609895
RAWNET,residuals,concat1,extend0,37.6791958041958,0.518733290592901,0.48097013703970604
RAWNET,residuals,concat1,extend1,75.37587412587412,0.9339668019818796,0.08299030237152061
